epoch,step,train_loss,train_loss_0,train_loss_1,train_loss_2,train_mean_squared_error,train_mean_squared_error_0,train_mean_squared_error_1,train_mean_squared_error_2,valid_loss,valid_loss_0,valid_loss_1,valid_loss_2,valid_mean_squared_error,valid_mean_squared_error_0,valid_mean_squared_error_1,valid_mean_squared_error_2
0,49,10.669221878051758,,,,,,,,,,,,,,,
0,99,6.242084503173828,,,,,,,,,,,,,,,
0,149,5.777226448059082,,,,,,,,,,,,,,,
0,199,5.588445663452148,,,,,,,,,,,,,,,
0,249,5.5959577560424805,,,,,,,,,,,,,,,
0,299,5.466118812561035,,,,,,,,,,,,,,,
0,349,5.58750581741333,,,,,,,,,,,,,,,
0,399,5.336798667907715,,,,,,,,,,,,,,,
0,449,5.306618690490723,,,,,,,,,,,,,,,
0,499,5.328769207000732,,,,,,,,,,,,,,,
0,549,5.298783779144287,,,,,,,,,,,,,,,
0,549,,,,,,,,,4.970156669616699,1.7471362352371216,0.2184908092021942,3.0045278072357178,4.970156669616699,1.7471362352371216,0.2184908092021942,3.0045278072357178
0,549,,2.3372514247894287,1.3202992677688599,3.541691541671753,7.1992363929748535,2.3372514247894287,1.3202992677688599,3.541691541671753,,,,,,,,
1,599,5.2714362144470215,,,,,,,,,,,,,,,
1,649,5.232821464538574,,,,,,,,,,,,,,,
1,699,5.133967399597168,,,,,,,,,,,,,,,
1,749,5.02409553527832,,,,,,,,,,,,,,,
1,799,5.040283203125,,,,,,,,,,,,,,,
1,849,4.902947902679443,,,,,,,,,,,,,,,
1,899,4.8652777671813965,,,,,,,,,,,,,,,
1,949,4.913750648498535,,,,,,,,,,,,,,,
1,999,4.774435520172119,,,,,,,,,,,,,,,
1,1049,4.656460762023926,,,,,,,,,,,,,,,
1,1099,4.6034770011901855,,,,,,,,,,,,,,,
1,1099,,,,,,,,,4.513783931732178,1.3905459642410278,0.19968634843826294,2.923551559448242,4.513783931732178,1.3905459642410278,0.19968634843826294,2.923551559448242
1,1099,,1.6291033029556274,0.30660247802734375,3.066974639892578,5.002680778503418,1.6291033029556274,0.30660247802734375,3.066974639892578,,,,,,,,
2,1149,4.637048244476318,,,,,,,,,,,,,,,
2,1199,4.646137714385986,,,,,,,,,,,,,,,
2,1249,4.686176776885986,,,,,,,,,,,,,,,
2,1299,4.602961540222168,,,,,,,,,,,,,,,
2,1349,4.554276943206787,,,,,,,,,,,,,,,
2,1399,4.606965065002441,,,,,,,,,,,,,,,
2,1449,4.621936321258545,,,,,,,,,,,,,,,
2,1499,4.493100643157959,,,,,,,,,,,,,,,
2,1549,4.537440776824951,,,,,,,,,,,,,,,
2,1599,4.438199996948242,,,,,,,,,,,,,,,
2,1649,4.46810245513916,,,,,,,,,,,,,,,
2,1649,,,,,,,,,4.179653167724609,1.2433034181594849,0.1778336763381958,2.7585160732269287,4.179653167724609,1.2433034181594849,0.1778336763381958,2.7585160732269287
2,1649,,1.395003318786621,0.2651563286781311,2.9418883323669434,4.602048873901367,1.395003318786621,0.2651563286781311,2.9418883323669434,,,,,,,,
3,1699,4.424217700958252,,,,,,,,,,,,,,,
3,1749,4.352729797363281,,,,,,,,,,,,,,,
3,1799,4.295282363891602,,,,,,,,,,,,,,,
3,1849,4.260982513427734,,,,,,,,,,,,,,,
3,1899,4.217357635498047,,,,,,,,,,,,,,,
3,1949,4.2423272132873535,,,,,,,,,,,,,,,
3,1999,4.174826145172119,,,,,,,,,,,,,,,
3,2049,4.169538974761963,,,,,,,,,,,,,,,
3,2099,4.253187656402588,,,,,,,,,,,,,,,
3,2149,4.208290100097656,,,,,,,,,,,,,,,
3,2199,4.193537712097168,,,,,,,,,,,,,,,
3,2199,,,,,,,,,3.9288558959960938,1.098039984703064,0.17609165608882904,2.6547248363494873,3.9288558959960938,1.098039984703064,0.17609165608882904,2.6547248363494873
3,2199,,1.2322297096252441,0.23865997791290283,2.7920966148376465,4.262989521026611,1.2322297096252441,0.23865997791290283,2.7920966148376465,,,,,,,,
4,2249,4.210134506225586,,,,,,,,,,,,,,,
4,2299,4.115297317504883,,,,,,,,,,,,,,,
4,2349,4.082435607910156,,,,,,,,,,,,,,,
4,2399,4.041374683380127,,,,,,,,,,,,,,,
4,2449,4.076511383056641,,,,,,,,,,,,,,,
4,2499,4.119104385375977,,,,,,,,,,,,,,,
4,2549,3.970350742340088,,,,,,,,,,,,,,,
4,2599,4.146728515625,,,,,,,,,,,,,,,
4,2649,4.03763484954834,,,,,,,,,,,,,,,
4,2699,4.059826850891113,,,,,,,,,,,,,,,
4,2749,4.075308799743652,,,,,,,,,,,,,,,
4,2749,,,,,,,,,3.8238303661346436,1.0169790983200073,0.17391149699687958,2.6329402923583984,3.8238303661346436,1.0169790983200073,0.17391149699687958,2.6329402923583984
4,2749,,1.1184953451156616,0.22442777454853058,2.7272801399230957,4.0702033042907715,1.1184953451156616,0.22442777454853058,2.7272801399230957,,,,,,,,
5,2799,4.003600120544434,,,,,,,,,,,,,,,
5,2849,3.952117919921875,,,,,,,,,,,,,,,
5,2899,4.026981830596924,,,,,,,,,,,,,,,
5,2949,4.0179877281188965,,,,,,,,,,,,,,,
5,2999,3.989816904067993,,,,,,,,,,,,,,,
5,3049,4.07510232925415,,,,,,,,,,,,,,,
5,3099,3.871558666229248,,,,,,,,,,,,,,,
5,3149,4.019410133361816,,,,,,,,,,,,,,,
